tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2016-M020,Brisbane,Hard,,A,20160104,271,105062,,,Mikhail Kukushkin,R,183,KAZ,28.02,104797,,,Denis Istomin,R,188,UZB,29.33,6-2 7-5,3,R32,84,1,3,67,36,27,20,10,3,3,6,0,53,32,22,12,10,4,7,65,762,61,781
2016-M020,Brisbane,Hard,,A,20160104,272,103285,,PR,Radek Stepanek,R,185,CZE,37.10,105583,,,Dusan Lajovic,R,180,SRB,25.51,6-0 6-3,3,R32,67,3,2,48,25,18,16,8,2,2,0,2,46,25,15,8,7,4,8,197,252,76,678
2016-M020,Brisbane,Hard,,A,20160104,273,106071,7,,Bernard Tomic,R,193,AUS,23.20,103917,,,Nicolas Mahut,R,190,FRA,33.95,6-4 6-3,3,R32,69,8,0,59,34,28,14,10,4,5,4,1,50,29,21,10,9,3,6,18,1675,71,710
2016-M020,Brisbane,Hard,,A,20160104,275,104471,,Q,Ivan Dodig,R,183,CRO,31.00,117352,,Q,Oliver Anderson,U,,AUS,17.68,6-3 6-2,3,R32,67,11,2,49,30,24,13,9,0,0,3,1,52,30,22,9,8,3,6,87,636,813,25
2016-M020,Brisbane,Hard,,A,20160104,276,106298,,,Lucas Pouille,R,185,FRA,21.86,106415,,Q,Yoshihito Nishioka,L,,JPN,20.27,4-6 6-3 7-5,3,R32,143,17,2,95,64,53,15,16,2,4,4,3,120,64,42,30,15,12,15,78,672,117,495
2016-M020,Brisbane,Hard,,A,20160104,277,105676,6,,David Goffin,R,163,BEL,25.08,105064,,,Thomaz Bellucci,L,188,BRA,28.01,6-4 6-4,3,R32,82,3,4,57,30,23,16,10,1,2,7,2,66,40,25,15,10,7,10,16,1880,37,1105
2016-M020,Brisbane,Hard,,A,20160104,278,106233,8,,Dominic Thiem,R,185,AUT,22.34,105902,,WC,James Duckworth,R,183,AUS,23.95,3-6 6-4 6-3,3,R32,113,4,2,80,48,35,21,14,2,4,14,1,93,42,32,26,14,6,9,20,1600,120,485
2016-M020,Brisbane,Hard,,A,20160104,279,106045,,,Denis Kudla,R,180,USA,23.38,105441,,WC,John Patrick Smith,L,,AUS,26.08,4-6 6-3 6-2,3,R32,103,2,3,73,44,36,19,14,4,5,8,3,85,40,25,25,13,5,8,69,719,129,459
2016-M020,Brisbane,Hard,,A,20160104,280,111202,,,Hyeon Chung,R,,KOR,19.63,105032,,,Samuel Groth,R,,AUS,28.21,7-6(8) 6-4,3,R32,102,2,3,73,48,35,14,11,2,4,11,3,84,52,39,10,11,8,11,51,817,60,782
2016-M020,Brisbane,Hard,,A,20160104,282,105777,,,Grigor Dimitrov,R,188,BUL,24.64,104468,5,,Gilles Simon,R,183,FRA,31.02,6-3 7-6(10),3,R32,125,8,6,81,46,36,18,11,6,7,2,3,91,55,36,16,10,3,5,28,1360,15,2145
2016-M020,Brisbane,Hard,,A,20160104,283,104678,,,Viktor Troicki,R,193,SRB,29.90,105449,,,Steve Johnson,R,188,USA,26.03,7-6(3) 6-1,3,R32,70,3,2,56,34,28,13,10,1,3,3,0,62,33,20,14,9,4,8,22,1487,32,1240
2016-M020,Brisbane,Hard,,A,20160104,284,104735,,Q,Tobias Kamke,R,180,GER,29.62,106093,,WC,Benjamin Mitchell,R,,AUS,23.09,6-2 6-4,3,R32,79,1,0,59,36,29,13,9,0,0,4,3,59,37,24,10,9,5,8,277,185,231,225
2016-M020,Brisbane,Hard,,A,20160104,286,105453,2,,Kei Nishikori,R,178,JPN,26.02,105062,,,Mikhail Kukushkin,R,183,KAZ,28.02,6-3 6-4,3,R16,89,5,2,61,40,29,13,10,5,6,3,0,58,36,23,10,9,4,7,8,4235,65,762
2016-M020,Brisbane,Hard,,A,20160104,287,106071,7,,Bernard Tomic,R,193,AUS,23.20,103285,,PR,Radek Stepanek,R,185,CZE,37.10,7-6(6) 4-6 7-6(4),3,R16,157,19,1,114,78,56,17,17,3,6,14,5,107,66,54,18,17,4,6,18,1675,197,252
2016-M020,Brisbane,Hard,,A,20160104,288,105683,4,,Milos Raonic,R,196,CAN,25.02,104471,,Q,Ivan Dodig,R,183,CRO,31.00,6-7(2) 6-1 6-4,3,R16,145,17,5,106,62,51,23,15,3,3,11,2,100,66,47,17,14,7,10,14,2170,87,636
2016-M020,Brisbane,Hard,,A,20160104,289,106298,,,Lucas Pouille,R,185,FRA,21.86,105676,6,,David Goffin,R,163,BEL,25.08,7-6(5) 4-6 6-3,3,R16,122,13,4,106,57,45,24,15,9,11,9,1,92,50,40,20,16,1,4,78,672,16,1880
2016-M020,Brisbane,Hard,,A,20160104,290,106233,8,,Dominic Thiem,R,185,AUT,22.34,106045,,,Denis Kudla,R,180,USA,23.38,6-3 6-2,3,R16,56,7,1,45,33,28,8,9,0,0,0,2,48,27,19,8,8,2,5,20,1600,69,719
