,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-4.0,19.0,0.06646015206983946,-0.0625,-0.07373271889400923,-0.05998310335116874,-0.05998310335116869,-0.10000000000000009,-1.0,0.25,-0.15,-0.4285714285714286,-0.05998310335116869,-0.11996620670233743,0,Denis Istomin,Mikhail Kukushkin
1,-121.0,426.0,0.022644927536231818,-0.12,-0.3146997929606625,-0.20833333333333331,-0.20833333333333331,-0.2127659574468086,-1.0,-0.2,-0.0,-0.5,-0.20833333333333331,-0.41666666666666663,0,Dusan Lajovic,Radek Stepanek
2,-53.0,965.0,-0.003728813559321975,0.09939148073022308,0.08380952380952389,0.09186440677966101,0.09186440677966101,0.11926605504587151,0.0,0.21052631578947367,-0.05263157894736842,0.30000000000000004,0.09186440677966101,0.18372881355932202,1,Bernard Tomic,Nicolas Mahut
3,-726.0,611.0,0.035321821036106815,0.06666666666666676,0.2751196172248804,0.15894819466248045,0.1589481946624804,0.14851485148514842,1.0,0.47058823529411764,0.058823529411764705,0.0,0.15894819466248042,0.3178963893249609,1,Ivan Dodig,Oliver Anderson
4,-39.0,177.0,0.14035087719298245,0.171875,-0.0518433179723502,0.11578947368421055,0.11578947368421055,0.07906976744186056,1.0,0.41935483870967744,-0.03225806451612903,-0.30000000000000004,0.11578947368421058,0.2315789473684211,1,Lucas Pouille,Yoshihito Nishioka
5,-21.0,775.0,-0.0797448165869219,0.14166666666666672,0.015669515669515688,0.07814992025518341,0.07814992025518341,0.05691056910569103,1.0,-0.2,0.1,-0.19999999999999996,0.07814992025518339,0.15629984051036683,1,David Goffin,Thomaz Bellucci
6,-100.0,1115.0,0.14838709677419354,-0.03273809523809523,0.14644607843137258,0.07634408602150544,0.07634408602150539,0.052023121387283267,1.0,-0.35714285714285715,0.03571428571428571,-0.16666666666666663,0.07634408602150541,0.15268817204301083,1,Dominic Thiem,James Duckworth
7,-60.0,260.0,0.1321514907332796,0.19318181818181823,0.09961685823754785,0.1651893634165995,0.1651893634165995,0.139240506329114,1.0,-0.2222222222222222,0.0,0.17500000000000004,0.16518936341659948,0.330378726833199,1,Denis Kudla,John Patrick Smith
8,-9.0,35.0,0.03848662752772336,-0.02083333333333337,0.24750000000000005,0.08789954337899542,0.08789954337899547,0.07006369426751591,1.0,-0.391304347826087,0.0,-0.2272727272727273,0.08789954337899547,0.17579908675799089,1,Hyeon Chung,Samuel Groth
9,-13.0,785.0,0.036494369827703155,-0.1280632411067194,-0.06984126984126982,-0.09523809523809523,-0.09523809523809523,-0.08139534883720922,-0.5,-0.2727272727272727,-0.13636363636363635,-0.2571428571428571,-0.09523809523809523,-0.19047619047619047,0,Gilles Simon,Grigor Dimitrov
10,-10.0,247.0,0.07488479262672809,0.21746880570409977,0.10815047021943575,0.1837557603686636,0.1837557603686636,0.1694915254237288,1.0,0.0,0.1,-0.16666666666666669,0.1837557603686636,0.3675115207373272,1,Viktor Troicki,Steve Johnson
11,-46.0,40.0,0.016949152542372836,-0.1569069069069069,-0.11067193675889325,-0.13559322033898302,-0.13559322033898302,-0.13559322033898313,-1.0,0.16666666666666666,0.16666666666666666,0.0,-0.13559322033898302,-0.27118644067796605,0,Benjamin Mitchell,Tobias Kamke
